"Vehicle Make",Count
mitsubshi,2
we,2
hnda,2
nuva,2
mustang,2
acrua,2
hd.,2
escalade,2
bmc,2
interna,2
pinerello,2
mclaren,2
evadingmv,2
razor,2
triton,2
lamborghini,2
checker,2
internationalharvesterco.,2
coleman,2
sym,2
transcraft,2
huyn,2
boxtruck,2
subraru,2
great,2
coolster,2
unk`,2
engineusewhenmakenotliste,2
track,2
volkswagan,2
mimi,2
toyoto,2
unkknown,2
bent,2
2011,2
pontc,2
pacea,2
2012,2
suzuk,2
mackmotors,2
duca,2
frie,2
toro,2
cervelo,2
motorcycles,2
nisaan,2
harleydav,2
kenworthtruck,2
range,2
mazd-mz3,2
lance,2
se,2
case,2
rocket,2
grumman-olsen/grummanmotor,2
falcon,2
ameri,2
chryl,1
vov,1
setr,1
vntc,1
chevolet,1
friegghtliner,1
1998,1
tlawd,1
perg,1
newfyler,1
monac,1
shoreline,1
walker,1
canyon,1
ink,1
americanlafran,1
wayf,1
kestrel,1
hondda,1
genuinescooterco.,1
infinitti,1
chevroletexpress,1
volvoxc90,1
cehvrole,1
porsh,1
20-32873,1
pinarello,1
deisel/electrichybridt,1
masurati,1
redstreak,1
frieghliner,1
hudsonbrostrailermfginc,1
250,1
fleetauto,1
thomasbuiltbus,1
kis,1
subaroutbck,1
hoinda,1
evadedatv,1
ferarra,1
dogge,1
stratford,1
chongqing,1
taizhouzhongengmotorcycleco,1
cottrell,1
texaspride,1
dot,1
fritlnr,1
nissanorimpala,1
20-1396,1
holi,1
trk,1
savana,1
pacearrow,1
19-117995,1
escor,1
chystler,1
19-60047,1
crane,1
phoen,1
kovatchmobileequipment,1
toyota/camry,1
tomas,1
pa,1
fore,1
frgthlnr,1
humme,1
cr-vse,1
clark,1
gmv,1
yahama,1
yongfumachine,1
mitsu.,1
peterbuit,1
wolkswgen,1
seadoo,1
austn,1
forc,1
humvee,1
cate,1
okh,1
topli,1
publicworkstr,1
tautau,1
box,1
cobra,1
guru,1
linhai,1
1965445,1
cevy,1
hmade,1
lenco,1
kaiser,1
freightlie,1
acurta,1
36166,1
ford(marshalls),1
avanti,1
corolla,1
possibleinfinity,1
gillis,1
shangaimeitian,1
mountain,1
allstar,1
trail,1
1900288464,1
cn19-40060,1
shark,1
cottr,1
butlercons.,1
hohda,1
belmo,1
/hytr,1
moped50cc,1
felli,1
jayco,1
felling,1
golfcart,1
fordf350,1
custo,1
moto-guzzi,1
hardrock,1
genuinescooterco,1
downe,1
mazda`,1
zummer,1
av44316,1
outlander,1
wolftaizhou,1
subuar,1
bluesilver40'd,1
maxon,1
stanley,1
deiseltransit,1
volks.,1
yz,1
neon,1
freghtliner,1
cttransitpublicbus,1
toyotoa,1
datsun,1
take,1
iccorp.international,1
tesler,1
grumer,1
cm,1
19-30494,1
19-72767,1
hom,1
victim,1
gensis,1
uscar,1
freg,1
ezpeadler,1
tiff,1
mercedew,1
volswagaon,1
4wheeatv,1
dmndbck,1
chavr,1
dresser,1
nisnan,1
any,1
chy,1
xd40,1
wabashnationalcorporation,1
19-112648,1
fireapparatus,1
lexxus,1
bul,1
rampmaster,1
summit,1
1cco,1
abar,1
subu,1
1n4al3ap6hn365652,1
jay,1
palme,1
merceds-ben,1
a&btrailermfgcoinc,1
ptblt,1
bmq,1
intl4300,1
ottawa,1
ferraria,1
apollo,1
ustanker,1
custom,1
chex,1
yam,1
winnebago,1
jeepo,1
mercees,1
mittsubishi,1
mercury(seemercurymarine),1
marquis,1
landrvr,1
frhtlr,1
noway,1
kawisaki,1
crown,1
toyoa,1
jlgindustry,1
suabru,1
oldsmobil,1
xpro,1
novae,1
raleighc30,1
intiniti,1
grummen,1
aj32806,1
jyoc,1
aera,1
19-11059,1
evadvehicle,1
palo,1
midbu,1
freightvehicle,1
mitszubishi,1
bravo,1
misubishi,1
lexis,1
metro,1
mitsubishii,1
bauer,1
alleg,1
f550,1
weststr,1
abarth,1
50ccscooter,1
xx,1
glide,1
vermeer,1
trlr,1
fourw,1
subaro,1
"kia
",1
kenworthmotortruckco,1
meredes,1
suz,1
alfaromero,1
2115,1
intrnl,1
neoextreme,1
dcx,1
championtrailers,1
isuzi,1
kamatsu,1
lotr,1
pines,1
lbtinc,1
yoyot,1
toatoa,1
vipfuturecham,1
forde450,1
taky,1
40newflyer,1
mercede\sbenz,1
cherverlot,1
leach,1
q,1
125232,1
fort,1
dyamo,1
.frht,1
huyundai,1
19-86011,1
haulmarkind,1
/gdan,1
burgman,1
aut,1
19-5565,1
brind,1
wv,1
whitemotorcor,1
cnerv,1
20-17799,1
yamha,1
sebigripper29,1
ubran,1
18-109838,1
outback,1
federalpostal,1
alum,1
smartcar,1
mitsub.,1
argo,1
peacesports,1
charmer,1
frtlnr,1
sienna,1
icbuscorporation,1
lvfk,1
girardin,1
hondaodyssey,1
izusu,1
28078,1
newflyerdxe40,1
internl,1
optima,1
skytrak,1
granitepeak,1
hyind,1
2,1
19-117658,1
parlee,1
kaufmantrailer,1
thomasbus,1
liberty,1
vokswagon,1
hhonda,1
look,1
load,1
star,1
frln,1
engine2,1
mci45',1
porscha,1
motorscooter,1
leike,1
bett,1
holr,1
fontainetrailerco,1
btelli,1
alpharomeo,1
jcd,1
kenworthnorthwest,1
hnd,1
easton,1
autocar1,1
19-5480,1
countrycoach,1
venus,1
mobilsweeper,1
customrescue,1
2001,1
19-17238,1
nova06',1
rossenbauer,1
dutx,1
reitnouer,1
nissas,1
hn,1
bianchi,1
trave,1
dors,1
inifiti,1
bin,1
berkshire,1
piper,1
vipscooter,1
aston,1
icbusllc,1
pacific,1
lndrvr,1
landcruiser,1
monaco,1
19-52992,1
kvt,1
ar,1
mercedesbens,1
american,1
bashan,1
15lm90aw,1
19-25953,1
20-53643,1
canam,1
bluesilver40',1
fordf150,1
sirrus,1
fnm,1
744slz,1
toyato,1
unnown,1
pjtr,1
mercendes-benz,1
jmh,1
volve,1
bw,1
20-38535,1
80249,1
subaruxv,1
electrox,1
penske,1
flagstaff,1
chvy,1
bm,1
inter.,1
pace,1
saturncorp,1
bently,1
crosscountry,1
niag,1
19-103352,1
bigblue,1
accur,1
marmon,1
kawas,1
others,1
wgmc,1
baccio,1
coat,1
mona,1
19-6705,1
weste,1
grdn,1
novabuses,1
nfxde40,1
postaldelivery,1
featherlitemfginc,1
promaster,1
gruman-chev,1
towm,1
freightlingeer,1
1900541432,1
jeep-wrangler,1
mistsubishi,1
fordtransitglava,1
taylormachine,1
isuzo,1
ftln,1
mini-cooper,1
sat,1
peterbui,1
citizen2,1
masseyfergusen,1
lincone,1
oshko,1
inifinity,1
mci45diesel,1
frig,1
wacker,1
nowa,1
worktruck,1
19-99460,1
mitsubitshi,1
cams,1
tyoyta,1
pandh,1
velocity,1
2020,1
prrb,1
grumman-olsen,1
mcinbus,1
electric,1
unitcrane&shovelcorp.,1
rsport,1
pier,1
2000352195,1
bbrd,1
xtreme,1
taotao50,1
wstar,1
huyundia,1
nin,1
berks,1
mtc,1
kaufman,1
jinlun,1
tidewater,1
kwk,1
utilitytrlr,1
chevrolt,1
1969093,1
honda/toyota,1
indi,1
pike,1
lo/ma,1
possiblenissan,1
canopus,1
dynapac,1
porsche.,1
roketa,1
huzhou,1
kinger,1
jonwa,1
rajys,1
ironhorse,1
subrau,1
05.v,1
mcpr,1
20-85854,1
ambulance,1
fordf250,1
perdformance,1
sp,1
mitsbushi,1
kmefire,1
acua,1
homemademotorcycle,1
senata,1
cheverolt,1
chevrolet2013,1
npr,1
jeepcherokee,1
20-46642,1
"greatdanetrailers,inc.",1
toy?nis?,1
toyotta,1
sanyang,1
wells,1
woodm,1
pbrt,1
icbus,1
merfcury,1
john,1
559494b,1
wesrt,1
belmn,1
equinox,1
sci,1
sukuzi,1
mana,1
mercesdes,1
levus,1
transtech,1
stuphen,1
landroverrangerover,1
totoyta,1
hondaoracura,1
jetta,1
supe,1
dynacraft,1
nutmeginternat,1
craftsman,1
volkswagoon,1
semi-trailer,1
peterson,1
wanger,1
ut,1
cityofstamford,1
vanguard,1
duc,1
intnl,1
streetsweeper,1
20-36742,1
tk,1
ural,1
peterbilt?,1
isz,1
genes,1
kpmini,1
bedford,1
reit,1
maxxforce,1
avigo,1
lifan,1
hno,1
unkowm,1
ferra,1
chev/ford,1
diesal,1
hei,1
kymoto,1
tz,1
international7500,1
specialize,1
uhaultruck,1
hyubdai,1
xtrial-jamis,1
collinsbus,1
evade20-0582,1
hynundai,1
mheb,1
mountaintrack,1
20-50331,1
19-10647,1
fleetautomatic,1
19-61544,1
al/ro,1
whg,1
busmciallison,1
sutphencorp,1
liincoln,1
taotaoso,1
mobiletech,1
wsr,1
prce,1
apol,1
tuscan,1
xdc40,1
sthl,1
sts,1
taio,1
masarati,1
1900012818,1
dats,1
ki/mo,1
su,1
toyoota,1
pickup,1
ttoyota,1
