<<<<<<< HEAD
﻿Latitude,Longitude
41.68133400,-72.94368600
41.98644500,-72.59315400
41.75952900,-72.68704000
41.36344200,-71.96304600
41.05146700,-73.53602000
41.46151800,-72.67700400
41.58242000,-73.09003500
41.55092600,-73.05760200
41.90370000,-71.89694000
41.37476400,-72.18943600
41.65568200,-72.77142900
41.07260600,-73.52385300
41.78245900,-72.42497900
41.75295500,-73.15749400
41.55166500,-73.05035000
41.54549600,-72.41307400
41.91455500,-72.62945800
41.46042900,-73.23255300
41.16256000,-73.38699900
41.41739600,-73.42699700
41.39872000,-72.85198200
42.03133400,-72.86761000
41.78401900,-72.69148700
41.42101700,-72.82553700
41.59832100,-73.10732700
41.29640300,-72.95585200
41.17542300,-73.16743000
41.38181100,-73.43571600
41.53256900,-72.75992500
41.59422000,-72.92530000
41.51213500,-72.97862300
41.17910300,-73.17923000
41.72957600,-72.15884000
41.46871500,-73.42473300
41.78577800,-73.40810500
41.95509800,-73.48630800
41.59373200,-72.49008600
41.56241400,-72.55624100
41.29199400,-72.94268400
41.29316300,-72.49160400
41.57374900,-73.01115200
41.05429500,-73.55780600
41.12126000,-73.36448100
41.25646000,-72.99499900
41.59120400,-72.41266500
41.20972700,-73.14348900
41.15500400,-73.24448500
41.54038500,-72.79460000
41.56586190,-73.41469215
41.35032766,-72.85130617
41.58381300,-72.06203600
41.41538900,-72.97342100
41.46540100,-71.92965800
41.81906900,-72.69560600
41.33930400,-72.90889700
41.80347200,-72.50761800
41.77206000,-73.11464200
41.02966700,-73.60053100
41.51680000,-72.77628100
41.66906300,-72.77602300
41.43811800,-73.24693800
41.36808295,-72.15379137
41.48178200,-71.90587200
42.00674500,-73.36045200
41.93175300,-72.78978600
41.89201200,-72.98528200
41.20538700,-73.19147900
41.28646600,-72.87967800
41.37119700,-71.97450000
41.98863300,-73.17215600
41.34126969,-72.39176774
41.82310300,-73.16453800
41.85534200,-72.48405500
41.94357400,-73.05268800
41.34130300,-72.98272300
41.20460000,-73.22560000
41.78170300,-72.67602500
41.64798300,-73.22866700
41.63837700,-72.67623600
41.83342000,-73.19764400
41.33315500,-72.87194000
41.49220800,-73.16670600
41.80974959,-72.52054770
41.73075100,-72.33775500
41.38498600,-73.20454600
41.46490800,-72.04260700
41.29577200,-73.05792400
41.30084500,-72.91033400
