Latitude,Longitude
41.94230600,-71.96406400
41.81878900,-72.67890200
41.46998500,-73.03299100
41.66938500,-72.82599900
41.33543200,-73.37732100
41.29828000,-73.10461000
41.54703592,-73.00342587
41.58396000,-73.07475400
41.33130300,-72.92925500
41.36893100,-72.85797100
41.66177700,-72.69400300
41.50058600,-72.60860400
41.65816000,-72.37326500
41.97809000,-72.63067600
41.54501500,-72.98772000
41.65670300,-72.91460700
41.95472100,-72.77823400
41.76457800,-72.52037700
41.60959400,-73.45280600
41.39413800,-72.16953400
41.16024400,-73.37493500
41.18714100,-73.18080400
41.38298800,-72.90777800
41.36248800,-73.25668900
41.30858900,-73.08242200
41.25742400,-73.21891600
41.55828000,-73.02466100
41.30488200,-72.97424100
41.18560800,-73.18085900
41.72347000,-72.62614200
41.12026600,-73.49901800
41.36580800,-73.06143900
41.56000500,-73.03907600
41.18291900,-73.16658400
41.22597800,-73.25751300
41.33402000,-73.20619600
41.67474100,-72.77220700
41.30106500,-72.92512400
41.64293000,-73.01289000
41.31821000,-73.51442000
41.49837300,-73.21335100
41.25567100,-73.21841600
41.83056000,-72.44166500
41.30326600,-72.97771200
41.67392300,-72.66671700
41.87322000,-72.66163300
41.20329466,-73.21645595
41.40362100,-73.44220800
41.34806700,-72.83874200
41.26818200,-72.94831000
41.25175700,-73.43419400
41.81657700,-72.69524600
41.20080800,-73.18405300
41.27598300,-73.02434200
41.58142900,-73.49140600
41.41694300,-73.39930300
41.18840200,-73.18434100
41.72899300,-72.28588200
41.79531100,-73.08937400
41.31670700,-73.20494300
41.87132700,-72.21251900
41.94809600,-73.11433800
41.67205800,-72.88706700
41.07080600,-73.48915600
41.16218300,-73.23880300
41.34281300,-72.94634300
41.66727300,-72.81136200
41.30714691,-72.87378125
41.05119400,-73.54235500
41.99292100,-72.58717600
41.67953600,-73.47080300
41.44790300,-72.55495300
41.85663400,-72.17826000
41.98956100,-72.57128900
41.84817800,-72.69018400
41.19676700,-73.20037900
41.39925100,-73.43210300
41.31509200,-72.87318000
