Latitude,Longitude
41.06538500,-73.53453000
41.19170400,-73.15339400
41.22583600,-73.16528800
41.75085900,-72.72024100
41.78279400,-72.31283800
41.69690099,-72.85720396
41.04822300,-73.55586300
41.77329300,-72.53951000
41.31686100,-72.93336800
41.74708400,-71.85331800
41.18561400,-73.19175500
41.55463100,-73.09310500
41.66564500,-72.78176100
41.31763200,-72.90131800
41.18940300,-73.18068200
41.74271700,-72.67274900
41.76642000,-72.67319400
41.74139000,-72.67228000
41.23626200,-73.02449000
41.20920800,-73.01886400
41.20938440,-73.01825750
41.23251740,-73.06100400
41.76411300,-72.67390700
41.23117300,-73.04615800
41.22397800,-73.00130400
41.22136100,-73.04811300
41.25070000,-73.02466800
41.23561700,-73.02463900
41.22284800,-73.05517500
41.74258400,-72.67258600
41.77784600,-72.68542800
41.78232200,-72.69611300
41.74165400,-72.67238300
41.75701200,-72.67572000
41.76762500,-72.67439500
41.76576600,-72.67299100
41.74762200,-72.67335500
41.20252400,-73.10128500
41.20774500,-73.08668600
41.27848600,-72.87301000
41.75520000,-72.70720000
41.78668600,-72.67386000
41.79363000,-72.66559000
41.79121200,-72.68103300
41.78386800,-72.67518500
41.23083300,-73.06963000
41.21213900,-73.08652600
41.21937600,-73.04962900
41.22846700,-73.00259300
41.22285400,-73.04968000
41.21768400,-73.06470700
41.30883400,-72.94562300
41.17936400,-73.16269400
41.66946700,-72.93671100
41.74110200,-72.69446800
41.22976500,-73.01784500
41.22416700,-73.03587700
41.48029700,-73.05730800
41.18900400,-73.19998200
41.17455800,-73.19835200
41.19626301,-73.17514653
41.20311800,-73.19154100
41.28481954,-72.67364674
41.79500600,-72.69682800
41.75288200,-72.67436200
41.79682000,-72.66430000
41.79193400,-72.69513300
41.76982600,-72.67082800
41.74118400,-72.69425900
41.76768100,-72.69710200
41.32388000,-72.88153000
41.31934800,-72.90478600
41.52990400,-72.05218600
41.83630700,-72.30732900
41.21879000,-73.15000100
41.30729900,-72.96973100
41.37583000,-73.42484200
41.21500700,-73.21263600
41.18141800,-73.19475300
41.69564000,-72.90342900
41.33791100,-72.93514300
41.75882400,-72.66948900
41.78327200,-72.69921300
41.78648700,-72.69863900
41.78148100,-72.67610000
41.22241200,-73.02815900
41.20113900,-73.06458900
41.24089100,-73.03330400
41.21910200,-73.07519200
41.22839400,-73.06659900
41.31313636,-72.93228443
41.29869100,-72.93445600
41.30552900,-72.95271600
41.33262300,-72.94936600
41.04805200,-73.53918600
41.45656100,-72.82421500
41.55383900,-73.03099600
41.76255300,-72.73999100
41.55486200,-72.96070400
41.17448300,-73.20131200
41.18206200,-73.20265600
41.17467000,-73.19813700
41.38748800,-73.44166900
41.03467900,-73.62749600
41.34662100,-72.93419000
41.74481200,-72.67307300
41.09888000,-73.41607500
41.81907900,-72.58409100
41.05029400,-73.54760000
41.18489300,-73.19688800
41.20723200,-73.20588600
41.38625000,-73.42326700
41.74861100,-72.70230600
41.78550500,-72.67942600
41.68697300,-72.78273100
41.30696900,-72.93725900
41.31489500,-72.94568200
41.57887700,-73.04735000
41.34116900,-72.97771900
41.28921073,-72.79753275
41.17296500,-73.20114000
41.67811200,-72.80933700
41.30494200,-72.94644200
41.31575800,-72.93488800
41.31937500,-72.93400500
41.55916500,-73.01228800
41.39826200,-73.45230900
41.39521000,-73.45700500
41.02567168,-73.63500535
41.68307900,-72.77260000
41.31706100,-72.91556500
41.09446300,-73.42592700
41.04810400,-73.55421900
41.55233092,-73.03760121
41.20882100,-73.19208100
41.19577100,-73.19970700
41.39683400,-73.45238500
41.81380400,-72.55396100
41.54703592,-73.00342587
41.53638400,-72.98665600
41.54496400,-73.05567800
41.55302200,-73.02320200
41.53554100,-73.06022100
41.17990500,-73.20645800
41.18956400,-73.17759600
41.18823300,-73.18025600
41.75544500,-72.68708500
41.76769000,-72.52034300
41.66299400,-72.80090000
41.31426400,-72.89600200
41.13772800,-73.42506300
41.39201600,-73.45905300
41.31211300,-72.91926800
41.29012900,-72.89418600
41.63927300,-72.66490300
41.59157149,-72.87455802
41.04207800,-73.54254200
41.76496800,-72.81984900
41.17918700,-73.18946800
41.18156000,-73.25145000
41.71633600,-72.55529200
41.32612300,-72.95914300
41.04891800,-73.51488100
41.06694600,-73.54596900
41.20009208,-73.11948909
41.18714100,-73.18080400
41.19343300,-73.16890700
41.17402500,-73.19781300
41.76017000,-72.52572800
41.67417800,-72.78147300
41.30281600,-72.92833700
41.31305600,-72.95204100
41.32969000,-72.92619000
41.10627549,-73.41930330
41.10221500,-73.43599200
41.30858900,-73.08242200
41.33586100,-72.87485900
41.42846100,-72.45108900
41.25742400,-73.21891600
41.48421100,-72.80789400
41.55828000,-73.02466100
41.37134000,-73.40910000
41.17976600,-73.16156200
41.17814300,-73.16671800
41.42167000,-73.45162300
41.72347000,-72.62614200
41.37350900,-72.05335100
41.31681800,-72.94262700
41.71500200,-71.88019900
41.80933600,-73.13359100
41.56000500,-73.03907600
41.55377800,-73.02838800
41.54658300,-73.04605800
41.18970000,-73.42260000
41.83684100,-72.67344600
41.27637300,-72.83704500
41.17521100,-73.20741300
41.38776900,-73.44538800
41.39366100,-73.45156400
42.00062700,-72.59384500
41.02820596,-73.56693654
41.77607900,-72.52114300
41.67003200,-72.79351700
41.65118800,-72.77782400
41.65375600,-72.75528200
41.29121200,-72.93335400
41.31150400,-72.91612800
41.81871000,-72.86545300
41.06875300,-73.52095300
41.07574000,-73.54899500
41.05531600,-73.53891400
41.05532600,-73.52969000
41.37562900,-72.90846700
41.32401600,-72.32725500
41.20264585,-73.11276579
41.25567100,-73.21841600
41.86762200,-72.44241000
41.56565300,-73.00825200
41.78611200,-72.74455200
41.13763800,-73.34164000
41.57794200,-72.67249600
41.31677500,-72.94264200
41.40362100,-73.44220800
41.79655300,-72.62048500
41.78782400,-72.72583000
41.29197300,-72.93281100
41.11816100,-73.41509400
41.56398199,-73.05938162
41.60491900,-73.11890100
